timestamp,value,anomaly_score,predValue,label
2014-04-10 00:04:00,91.958,0.0301029996659,[[ 91.958]],0
2014-04-10 00:09:00,94.798,0.0301029996659,[[ 99.5232241]],0
2014-04-10 00:14:00,92.208,0.0301029996659,[[ 114.62626575]],0
2014-04-10 00:19:00,93.722,0.0301029996659,[[ 95.25990269]],0
2014-04-10 00:24:00,93.042,0.0301029996659,[[ 77.8654101]],0
2014-04-10 00:29:00,92.958,0.0301029996659,[[ 67.03841893]],0
2014-04-10 00:34:00,95.708,1.0,[[ 85.55652001]],0
2014-04-10 00:39:00,95.25,0.0301029996659,[[ 89.01679424]],0
2014-04-10 00:44:00,94.458,0.0301029996659,[[ 88.60448211]],0
2014-04-10 00:49:00,92.75,0.0301029996659,[[ 105.7441996]],0
2014-04-10 00:54:00,94.208,0.0301029996659,[[ 115.11524292]],0
2014-04-10 00:59:00,92.75,0.0301029996659,[[ 92.51986392]],0
2014-04-10 01:04:00,94.376,0.0301029996659,[[ 87.68473095]],0
2014-04-10 01:09:00,92.792,0.0301029996659,[[ 71.27548115]],0
2014-04-10 01:14:00,91.666,1.0,[[ 70.86197722]],0
2014-04-10 01:19:00,87.542,1.0,[[ 95.40783035]],0
2014-04-10 01:24:00,90.75,0.0301029996659,[[ 83.57591358]],0
2014-04-10 01:29:00,91.65,0.0301029996659,[[ 79.26484816]],0
2014-04-10 01:34:00,90.062,0.0301029996659,[[ 73.34240816]],0
2014-04-10 01:39:00,93.416,0.0301029996659,[[ 99.03939674]],0
2014-04-10 01:44:00,89.904,0.0301029996659,[[ 80.21472329]],0
2014-04-10 01:49:00,90.542,0.0301029996659,[[ 77.80262861]],0
2014-04-10 01:54:00,90.628,0.0301029996659,[[ 76.78769287]],0
2014-04-10 01:59:00,91.166,0.0301029996659,[[ 93.70584956]],0
2014-04-10 02:04:00,90.5,0.0301029996659,[[ 99.44413498]],0
2014-04-10 02:09:00,89.166,0.0301029996659,[[ 90.93967929]],0
2014-04-10 02:14:00,90.292,0.0301029996659,[[ 78.23242431]],0
