timestamp,value,anomaly_score,predValueFirst,predValueLast,label
2014-07-01 00:00:00,10844,0.0,0.0,0.0,0
2014-07-01 00:30:00,8127,0.0,10844.0,10844.0,0
2014-07-01 01:00:00,6210,0.0,-12255488.3948,-4681298.67398,0
2014-07-01 01:30:00,4656,0.0,-9975232.30578,-3937930.23469,0
2014-07-01 02:00:00,3820,0.0,-8157327.08125,-3305013.03659,0
2014-07-01 02:30:00,2873,0.0,-6759932.76493,-2794930.40887,0
2014-07-01 03:00:00,2369,0.0,-5675267.89482,-2386344.12306,0
2014-07-01 03:30:00,2064,0.0,-4811657.03251,-2052992.13925,0
2014-07-01 04:00:00,2221,0.0,-4109990.44497,-1776214.13571,0
2014-07-01 04:30:00,2158,0.0,-3529436.30488,-1542246.34001,0
2014-07-01 05:00:00,2515,0.0,-3042587.17378,-1341726.31467,0
2014-07-01 05:30:00,4364,0.0,-2629334.5719,-1167671.64709,0
2014-07-01 06:00:00,6526,0.0,-2282523.71537,-1018411.32458,0
2014-07-01 06:30:00,11039,0.0,-1997496.50903,-893183.82091,0
2014-07-01 07:00:00,13857,0.0,-1797425.94282,-803465.979103,0
2014-07-01 07:30:00,15865,0.0,-1644685.9453,-732942.956699,0
2014-07-01 08:00:00,17920,0.0,-1513242.66023,-670203.268925,0
2014-07-01 08:30:00,20346,0.0,-1395242.30131,-611879.631064,0
2014-07-01 09:00:00,19539,0.0,-1288072.81947,-556862.547654,0
2014-07-01 09:30:00,20107,0.0,-1151353.19807,-487495.630542,0
2014-07-01 10:00:00,18984,0.0,-1007640.76511,-414195.721406,0
2014-07-01 10:30:00,17720,0.0,-849964.764715,-334619.034713,0
2014-07-01 11:00:00,17249,0.0,-687155.653524,-253321.009476,0
2014-07-01 11:30:00,18463,0.0,-528270.90919,-174713.310433,0
2014-07-01 12:00:00,18908,0.0,-379077.635819,-101429.993879,0
2014-07-01 12:30:00,18886,0.0,-237454.840628,-33037.5077877,0
