timestamp,value,anomaly_score,predValueFirst,predValueLast,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-02-26 21:42:53,2,0.0,0.0,0.0,0,0.0,0.0,0.0
2015-02-26 21:47:53,2,0.0,1.0,0.0,0,0.0,0.0,0.0
2015-02-26 21:52:53,4,0.0,1.33333333333,0.0,0,0.0,0.0,0.0
2015-02-26 21:57:53,3,0.0,2.0,0.0,0,0.0,0.0,0.0
2015-02-26 22:02:53,5,0.0,2.2,0.0,0,0.0,0.0,0.0
2015-02-26 22:07:53,1,0.0,2.66666666667,0.0,0,0.0,0.0,0.0
2015-02-26 22:12:53,1,0.0,2.42857142857,0.0,0,0.0,0.0,0.0
2015-02-26 22:17:53,2,0.0,2.25,0.0,0,0.0,0.0,0.0
2015-02-26 22:22:53,8,0.0,2.22222222222,0.0,0,0.0,0.0,0.0
2015-02-26 22:27:53,4,0.0,2.8,0.0,0,0.0,0.0,0.0
2015-02-26 22:32:53,2,0.0,2.90909090909,0.0,0,0.0,0.0,0.0
2015-02-26 22:37:53,3,0.0,2.83333333333,0.0,0,0.0,0.0,0.0
2015-02-26 22:42:53,1,0.0,2.84615384615,0.0,0,0.0,0.0,0.0
2015-02-26 22:47:53,5,0.0,2.71428571429,0.0,0,0.0,0.0,0.0
2015-02-26 22:52:53,4,0.0,2.86666666667,0.0,0,0.0,0.0,0.0
2015-02-26 22:57:53,6,0.0,2.9375,0.0,0,0.0,0.0,0.0
2015-02-26 23:02:53,1,0.0,3.11764705882,0.0,0,0.0,0.0,0.0
2015-02-26 23:07:53,3,0.0,3.0,0.0,0,0.0,0.0,0.0
2015-02-26 23:12:53,9,0.0,3.0,0.0,0,0.0,0.0,0.0
2015-02-26 23:17:53,4,0.0,3.3,0.0,0,0.0,0.0,0.0
2015-02-26 23:22:53,2,0.0,3.33333333333,0.0,0,0.0,0.0,0.0
2015-02-26 23:27:53,4,0.0,3.27272727273,0.0,0,0.0,0.0,0.0
2015-02-26 23:32:53,1,0.0,3.30434782609,0.0,0,0.0,0.0,0.0
2015-02-26 23:37:53,4,0.0,3.20833333333,0.0,0,0.0,0.0,0.0
2015-02-26 23:42:53,6,0.0,3.24,0.0,0,0.0,0.0,0.0
2015-02-26 23:47:53,4,0.0,3.34615384615,0.0,0,0.0,0.0,0.0
2015-02-26 23:52:53,5,0.0,3.37037037037,0.0,0,0.0,0.0,0.0
2015-02-26 23:57:53,6,0.0,3.42857142857,0.0,0,0.0,0.0,0.0
2015-02-27 00:02:53,2,0.0,3.51724137931,0.0,0,0.0,0.0,0.0
2015-02-27 00:07:53,4,0.0,3.46666666667,0.0,0,0.0,0.0,0.0
2015-02-27 00:12:53,2,0.0,3.48387096774,0.0,0,0.0,0.0,0.0
2015-02-27 00:17:53,1,0.0,3.4375,0.0,0,0.0,0.0,0.0
2015-02-27 00:22:53,2,0.0,3.36363636364,0.0,0,0.0,0.0,0.0
2015-02-27 00:27:53,2,0.0,3.32352941176,0.0,0,0.0,0.0,0.0
2015-02-27 00:32:53,6,0.0,3.28571428571,0.0,0,0.0,0.0,0.0
2015-02-27 00:37:53,6,0.0,3.36111111111,0.0,0,0.0,0.0,0.0
2015-02-27 00:42:53,3,0.0,3.43243243243,0.0,0,0.0,0.0,0.0
2015-02-27 00:47:53,4,0.0,3.42105263158,0.0,0,0.0,0.0,0.0
2015-02-27 00:52:53,3,0.0,3.4358974359,0.0,0,0.0,0.0,0.0
2015-02-27 00:57:53,4,0.0,3.425,0.0,0,0.0,0.0,0.0
2015-02-27 01:02:53,5,0.0,3.43902439024,0.0,0,0.0,0.0,0.0
2015-02-27 01:07:53,2,0.0,3.47619047619,0.0,0,0.0,0.0,0.0
2015-02-27 01:12:53,8,0.0,3.44186046512,0.0,0,0.0,0.0,0.0
2015-02-27 01:17:53,4,0.0,3.54545454545,0.0,0,0.0,0.0,0.0
2015-02-27 01:22:53,5,0.0,3.55555555556,0.0,0,0.0,0.0,0.0
2015-02-27 01:27:53,6,0.0,3.58695652174,0.0,0,0.0,0.0,0.0
2015-02-27 01:32:53,4,0.0,3.63829787234,0.0,0,0.0,0.0,0.0
2015-02-27 01:37:53,6,0.0,3.64583333333,0.0,0,0.0,0.0,0.0
2015-02-27 01:42:53,9,0.0,3.69387755102,0.0,0,0.0,0.0,0.0
2015-02-27 01:47:53,7,0.0,3.8,0.0,0,0.0,0.0,0.0
2015-02-27 01:52:53,5,0.0,3.86274509804,0.0,0,0.0,0.0,0.0
2015-02-27 01:57:53,6,0.0,3.88461538462,0.0,0,0.0,0.0,0.0
2015-02-27 02:02:53,6,0.0,3.92452830189,0.0,0,0.0,0.0,0.0
2015-02-27 02:07:53,5,0.0,3.96296296296,0.0,0,0.0,0.0,0.0
2015-02-27 02:12:53,2,0.0,3.98181818182,0.0,0,0.0,0.0,0.0
2015-02-27 02:17:53,1,0.0,3.94642857143,0.0,0,0.0,0.0,0.0
2015-02-27 02:22:53,2,0.0,3.89473684211,0.0,0,0.0,0.0,0.0
2015-02-27 02:27:53,2,0.0,3.86206896552,0.0,0,0.0,0.0,0.0
2015-02-27 02:32:53,3,0.0,3.83050847458,0.0,0,0.0,0.0,0.0
2015-02-27 02:37:53,4,0.0,3.81666666667,0.0,0,0.0,0.0,0.0
2015-02-27 02:42:53,4,0.0,3.81967213115,0.0,0,0.0,0.0,0.0
2015-02-27 02:47:53,2,0.0,3.82258064516,0.0,0,0.0,0.0,0.0
2015-02-27 02:52:53,5,0.0,3.79365079365,0.0,0,0.0,0.0,0.0
2015-02-27 02:57:53,3,0.0,3.8125,0.0,0,0.0,0.0,0.0
2015-02-27 03:02:53,3,0.0,3.8,0.0,0,0.0,0.0,0.0
2015-02-27 03:07:53,1,0.0,3.78787878788,0.0,0,0.0,0.0,0.0
2015-02-27 03:12:53,3,0.0,3.74626865672,0.0,0,0.0,0.0,0.0
2015-02-27 03:17:53,4,0.0,3.73529411765,0.0,0,0.0,0.0,0.0
2015-02-27 03:22:53,2,0.0,3.73913043478,0.0,0,0.0,0.0,0.0
2015-02-27 03:27:53,3,0.0,3.71428571429,0.0,0,0.0,0.0,0.0
