timestamp,value,anomaly_score,predValue,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-02-14 14:30:00,6.456,0.0,0.0,0,0.0,0.0,0.0
2014-02-14 14:35:00,5.816,0.0,6.456,0,0.0,0.0,0.0
2014-02-14 14:40:00,6.268,0.0,9.28346384398,0,0.0,0.0,0.0
2014-02-14 14:45:00,5.816,0.0,11.2479465872,0,0.0,0.0,0.0
2014-02-14 14:50:00,5.862,0.0,12.7144681788,0,0.0,0.0,0.0
2014-02-14 14:55:00,6.246,0.0,13.9141527651,0,0.0,0.0,0.0
2014-02-14 15:00:00,6.648,0.0,14.9471252589,0,0.0,0.0,0.0
2014-02-14 15:05:00,6.448,0.0,15.9151513279,0,0.0,0.0,0.0
2014-02-14 15:10:00,6.46,0.0,16.7384405699,0,0.0,0.0,0.0
2014-02-14 15:15:00,5.834,0.0,17.4670174568,0,0.0,0.0,0.0
2014-02-14 15:20:00,6.232,0.0,18.0441389204,0,0.0,0.0,0.0
2014-02-14 15:25:00,6.064,0.0,18.5986946632,0,0.0,0.0,0.0
2014-02-14 15:30:00,6.052,0.0,19.1104266993,0,0.0,0.0,0.0
2014-02-14 15:35:00,5.834,0.0,19.5452396405,0,0.0,0.0,0.0
2014-02-14 15:40:00,6.464,0.0,19.9430695593,0,0.0,0.0,0.0
2014-02-14 15:45:00,5.622,0.0,20.3715477659,0,0.0,0.0,0.0
2014-02-14 15:50:00,6.238,0.0,20.6591151419,0,0.0,0.0,0.0
2014-02-14 15:55:00,6.06,0.0,21.0110809252,0,0.0,0.0,0.0
2014-02-14 16:00:00,6.04,0.0,21.3018867171,0,0.0,0.0,0.0
2014-02-14 16:05:00,5.838,0.0,21.5750772416,0,0.0,0.0,0.0
2014-02-14 16:10:00,6.024,0.0,21.8327989769,0,0.0,0.0,0.0
2014-02-14 16:15:00,5.86,0.0,22.0580853356,0,0.0,0.0,0.0
2014-02-14 16:20:00,6.432,0.0,22.276383178,0,0.0,0.0,0.0
2014-02-14 16:25:00,6.672,0.0,22.4972676444,0,0.0,0.0,0.0
